student_id,school_id,school_year,term,subject,scale_score,proficient_flag
2000001,1047,2025,spring,ela,270.41,0
2000002,1039,2025,spring,ela,232.14,0
2000003,1063,2025,spring,ela,212.92,0
2000004,1067,2025,spring,ela,290.85,0
2000005,1082,2025,spring,ela,257.16,1
2000006,1056,2025,spring,ela,260.92,0
2000007,1067,2025,spring,ela,291.73,0
2000008,1072,2025,spring,ela,351.06,1
2000009,1028,2025,spring,ela,296.12,1
2000010,1072,2025,spring,ela,320.21,1
2000011,1066,2025,spring,ela,264.62,0
2000012,1026,2025,spring,ela,243.37,0
2000013,1083,2025,spring,ela,232.14,0
2000014,1037,2025,spring,ela,285.42,0
2000015,1038,2025,spring,ela,274.9,1
2000016,1040,2025,spring,ela,275.74,0
2000017,1038,2025,spring,ela,268.86,0
2000018,1040,2025,spring,ela,290.82,0
2000019,1023,2025,spring,ela,265.34,1
2000020,1006,2025,spring,ela,258.69,0
2000021,1007,2025,spring,ela,255.75,0
2000022,1081,2025,spring,ela,242.92,0
2000023,1029,2025,spring,ela,306.8,1
2000024,1014,2025,spring,ela,315.09,1
2000025,1033,2025,spring,ela,262.64,0
2000026,1089,2025,spring,ela,275.95,1
2000027,1022,2025,spring,ela,237.96,0
2000028,1057,2025,spring,ela,308.79,1
2000029,1014,2025,spring,ela,298.54,1
2000030,1060,2025,spring,ela,330.43,1
2000031,1060,2025,spring,ela,293.51,0
2000032,1057,2025,spring,ela,278.99,1
2000033,1011,2025,spring,ela,234.6,0
2000034,1081,2025,spring,ela,249.59,0
2000035,1037,2025,spring,ela,310.3,1
2000036,1038,2025,spring,ela,267.14,0
2000037,1005,2025,spring,ela,305.17,0
2000038,1047,2025,spring,ela,301.08,1
2000039,1041,2025,spring,ela,278.27,0
2000040,1084,2025,spring,ela,232.75,0
2000041,1063,2025,spring,ela,309.31,1
2000042,1080,2025,spring,ela,275.24,1
2000043,1069,2025,spring,ela,331.31,1
2000044,1070,2025,spring,ela,246.59,0
2000045,1058,2025,spring,ela,216.14,0
2000046,1086,2025,spring,ela,275.78,0
2000047,1067,2025,spring,ela,303.25,1
2000048,1086,2025,spring,ela,287.77,0
2000049,1042,2025,spring,ela,261.83,0
2000050,1066,2025,spring,ela,255.08,0
2000051,1042,2025,spring,ela,255.37,0
2000052,1066,2025,spring,ela,282.64,1
2000053,1040,2025,spring,ela,228.34,0
2000054,1004,2025,spring,ela,264.09,0
2000055,1013,2025,spring,ela,256.61,0
2000056,1052,2025,spring,ela,245.12,0
2000057,1028,2025,spring,ela,308.82,1
2000058,1058,2025,spring,ela,271.61,1
2000059,1048,2025,spring,ela,300.49,1
