educator_id,role,certification,years_experience,hire_year
3000001,counselor,standard,3,2022
3000002,teacher,standard,6,2019
3000003,teacher,standard,13,2012
3000004,admin,standard,7,2018
3000005,teacher,standard,13,2012
3000006,teacher,standard,8,2017
3000007,teacher,standard,7,2018
3000008,teacher,standard,0,2025
3000009,teacher,standard,0,2025
3000010,teacher,provisional,10,2015
3000011,teacher,standard,4,2021
3000012,teacher,standard,12,2013
3000013,teacher,standard,6,2019
3000014,teacher,standard,12,2013
3000015,counselor,standard,7,2018
3000016,teacher,standard,15,2010
3000017,teacher,standard,0,2025
3000018,teacher,standard,16,2009
3000019,teacher,standard,4,2021
3000020,teacher,standard,16,2009
3000021,teacher,standard,10,2015
3000022,admin,none,22,2003
3000023,teacher,standard,9,2016
3000024,teacher,standard,9,2016
3000025,teacher,provisional,6,2019
3000026,teacher,standard,1,2024
3000027,teacher,none,14,2011
3000028,teacher,standard,12,2013
3000029,teacher,standard,13,2012
3000030,teacher,provisional,1,2024
3000031,teacher,standard,13,2012
3000032,admin,none,7,2018
3000033,teacher,standard,15,2010
3000034,teacher,provisional,18,2007
3000035,teacher,standard,8,2017
3000036,counselor,standard,11,2014
3000037,teacher,standard,4,2021
3000038,teacher,standard,1,2024
3000039,teacher,standard,2,2023
3000040,counselor,standard,10,2015
3000041,counselor,standard,3,2022
3000042,teacher,standard,3,2022
3000043,admin,standard,14,2011
3000044,teacher,standard,0,2025
3000045,teacher,provisional,2,2023
3000046,teacher,standard,0,2025
3000047,admin,standard,14,2011
3000048,admin,standard,8,2017
3000049,teacher,standard,14,2011
3000050,teacher,provisional,15,2010
3000051,teacher,standard,13,2012
3000052,teacher,provisional,4,2021
3000053,admin,standard,9,2016
3000054,teacher,standard,0,2025
3000055,teacher,provisional,15,2010
3000056,teacher,provisional,6,2019
3000057,counselor,standard,6,2019
3000058,teacher,provisional,15,2010
3000059,teacher,provisional,18,2007
3000060,teacher,standard,3,2022
3000061,teacher,standard,2,2023
3000062,teacher,provisional,20,2005
3000063,teacher,standard,14,2011
3000064,teacher,standard,21,2004
3000065,counselor,standard,13,2012
3000066,teacher,standard,17,2008
3000067,teacher,none,3,2022
3000068,teacher,none,18,2007
3000069,admin,provisional,13,2012
3000070,teacher,standard,4,2021
3000071,teacher,standard,21,2004
3000072,teacher,none,6,2019
3000073,teacher,standard,4,2021
3000074,teacher,standard,8,2017
3000075,teacher,none,9,2016
3000076,counselor,standard,5,2020
3000077,admin,standard,22,2003
3000078,admin,standard,17,2008
3000079,teacher,standard,4,2021
3000080,teacher,provisional,11,2014
3000081,teacher,provisional,7,2018
3000082,teacher,none,16,2009
3000083,admin,standard,7,2018
3000084,teacher,standard,8,2017
3000085,teacher,standard,9,2016
3000086,teacher,standard,0,2025
3000087,teacher,standard,11,2014
3000088,counselor,standard,3,2022
3000089,counselor,provisional,15,2010
3000090,teacher,standard,11,2014
3000091,teacher,standard,21,2004
3000092,teacher,standard,12,2013
3000093,counselor,standard,9,2016
3000094,teacher,standard,11,2014
3000095,teacher,standard,15,2010
3000096,teacher,standard,15,2010
3000097,teacher,standard,8,2017
3000098,teacher,none,4,2021
3000099,teacher,provisional,7,2018
3000100,teacher,provisional,10,2015
3000101,counselor,standard,14,2011
3000102,teacher,standard,12,2013
3000103,teacher,standard,11,2014
3000104,teacher,standard,18,2007
3000105,teacher,standard,10,2015
3000106,teacher,standard,16,2009
3000107,teacher,standard,0,2025
3000108,teacher,standard,12,2013
3000109,teacher,standard,10,2015
3000110,teacher,provisional,8,2017
3000111,teacher,standard,0,2025
3000112,teacher,standard,9,2016
3000113,teacher,standard,4,2021
3000114,teacher,standard,14,2011
3000115,teacher,provisional,7,2018
3000116,teacher,standard,21,2004
3000117,teacher,provisional,11,2014
3000118,counselor,standard,4,2021
3000119,teacher,standard,8,2017
3000120,teacher,standard,13,2012
3000121,teacher,standard,3,2022
3000122,teacher,standard,6,2019
3000123,teacher,standard,5,2020
3000124,teacher,standard,3,2022
3000125,counselor,provisional,10,2015
3000126,teacher,provisional,15,2010
3000127,teacher,standard,4,2021
3000128,teacher,provisional,13,2012
3000129,teacher,provisional,4,2021
3000130,teacher,standard,10,2015
3000131,teacher,standard,12,2013
3000132,counselor,standard,16,2009
3000133,counselor,provisional,1,2024
3000134,teacher,standard,0,2025
3000135,teacher,standard,3,2022
3000136,teacher,provisional,5,2020
3000137,teacher,standard,2,2023
3000138,teacher,none,15,2010
3000139,teacher,standard,21,2004
3000140,teacher,standard,6,2019
3000141,teacher,standard,3,2022
3000142,teacher,standard,7,2018
3000143,teacher,standard,12,2013
3000144,teacher,standard,9,2016
3000145,teacher,standard,19,2006
3000146,counselor,standard,12,2013
3000147,teacher,standard,14,2011
3000148,teacher,standard,3,2022
3000149,teacher,standard,13,2012
3000150,teacher,standard,18,2007
3000151,admin,standard,0,2025
3000152,teacher,standard,8,2017
3000153,teacher,standard,9,2016
3000154,teacher,standard,7,2018
3000155,teacher,standard,6,2019
3000156,teacher,standard,17,2008
3000157,teacher,provisional,10,2015
3000158,teacher,standard,10,2015
3000159,teacher,standard,16,2009
3000160,teacher,standard,5,2020
3000161,teacher,provisional,7,2018
3000162,teacher,standard,9,2016
3000163,teacher,provisional,8,2017
3000164,teacher,standard,2,2023
3000165,teacher,standard,3,2022
3000166,teacher,none,6,2019
3000167,teacher,standard,16,2009
3000168,teacher,standard,5,2020
3000169,teacher,standard,9,2016
3000170,teacher,standard,18,2007
3000171,teacher,provisional,12,2013
3000172,admin,standard,10,2015
3000173,teacher,standard,7,2018
3000174,teacher,standard,0,2025
3000175,teacher,standard,2,2023
3000176,counselor,standard,1,2024
3000177,counselor,provisional,10,2015
3000178,teacher,standard,12,2013
3000179,teacher,standard,14,2011
3000180,teacher,standard,16,2009
3000181,teacher,standard,0,2025
3000182,teacher,standard,6,2019
3000183,teacher,standard,14,2011
3000184,teacher,standard,6,2019
3000185,counselor,none,7,2018
3000186,counselor,standard,7,2018
3000187,teacher,provisional,11,2014
3000188,admin,standard,7,2018
3000189,teacher,standard,0,2025
3000190,teacher,standard,5,2020
3000191,teacher,provisional,8,2017
3000192,teacher,standard,9,2016
3000193,teacher,provisional,3,2022
3000194,teacher,standard,11,2014
3000195,teacher,standard,12,2013
3000196,admin,standard,5,2020
3000197,teacher,standard,0,2025
3000198,counselor,provisional,6,2019
3000199,teacher,standard,4,2021
3000200,teacher,standard,19,2006
3000201,teacher,standard,12,2013
3000202,teacher,none,6,2019
3000203,teacher,provisional,9,2016
3000204,teacher,standard,7,2018
3000205,counselor,standard,1,2024
3000206,counselor,standard,2,2023
3000207,admin,standard,0,2025
3000208,teacher,standard,3,2022
3000209,counselor,standard,14,2011
3000210,teacher,standard,2,2023
3000211,teacher,standard,12,2013
3000212,teacher,standard,8,2017
3000213,counselor,none,6,2019
3000214,teacher,standard,10,2015
3000215,teacher,none,14,2011
3000216,teacher,standard,2,2023
3000217,teacher,standard,14,2011
3000218,teacher,standard,0,2025
3000219,teacher,standard,18,2007
3000220,teacher,standard,4,2021
3000221,teacher,standard,17,2008
3000222,teacher,none,1,2024
3000223,teacher,standard,13,2012
3000224,teacher,standard,9,2016
3000225,teacher,standard,7,2018
3000226,teacher,standard,12,2013
3000227,teacher,standard,14,2011
3000228,admin,provisional,3,2022
3000229,teacher,standard,12,2013
3000230,teacher,none,16,2009
3000231,teacher,provisional,13,2012
3000232,teacher,standard,0,2025
3000233,teacher,standard,7,2018
3000234,teacher,standard,11,2014
3000235,teacher,standard,6,2019
3000236,teacher,provisional,11,2014
3000237,teacher,provisional,13,2012
3000238,teacher,none,23,2002
3000239,teacher,standard,6,2019
3000240,admin,provisional,16,2009
3000241,teacher,standard,16,2009
3000242,teacher,standard,16,2009
3000243,counselor,none,3,2022
3000244,teacher,standard,19,2006
3000245,admin,none,10,2015
3000246,teacher,provisional,3,2022
3000247,admin,standard,6,2019
3000248,teacher,standard,18,2007
3000249,teacher,standard,0,2025
3000250,counselor,none,10,2015
3000251,teacher,standard,21,2004
3000252,teacher,standard,6,2019
3000253,teacher,standard,0,2025
3000254,teacher,standard,11,2014
3000255,teacher,standard,20,2005
