school_id,educator_id,school_year,fte,subject_area
1030,3000001,2025,1.0,admin
1028,3000002,2025,1.0,science
1059,3000003,2025,0.69,ela
1057,3000003,2025,0.31000000000000005,math
1075,3000004,2025,1.0,science
1084,3000005,2025,1.0,social_studies
1028,3000006,2025,1.0,math
1071,3000007,2025,1.0,sped
1063,3000008,2025,1.0,math
1027,3000009,2025,1.0,admin
1009,3000010,2025,1.0,science
1031,3000011,2025,1.0,ela
1070,3000012,2025,1.0,math
1063,3000013,2025,0.55,counseling
1009,3000013,2025,0.44999999999999996,ela
1073,3000014,2025,1.0,social_studies
1076,3000015,2025,1.0,social_studies
1063,3000016,2025,1.0,social_studies
1061,3000017,2025,1.0,math
1010,3000018,2025,1.0,science
1030,3000019,2025,1.0,admin
1013,3000020,2025,1.0,sped
1036,3000021,2025,1.0,sped
1058,3000022,2025,1.0,math
1015,3000023,2025,1.0,admin
1050,3000024,2025,1.0,social_studies
1088,3000025,2025,1.0,counseling
1075,3000026,2025,1.0,math
1042,3000027,2025,1.0,social_studies
1029,3000028,2025,1.0,counseling
1014,3000029,2025,1.0,admin
1027,3000030,2025,0.82,ela
1073,3000030,2025,0.18000000000000005,counseling
1027,3000031,2025,1.0,ela
1001,3000032,2025,1.0,counseling
1053,3000033,2025,1.0,sped
1013,3000034,2025,1.0,ela
1038,3000035,2025,1.0,admin
1083,3000036,2025,1.0,social_studies
1029,3000037,2025,0.72,math
1046,3000037,2025,0.28,social_studies
1071,3000038,2025,1.0,science
1024,3000039,2025,1.0,social_studies
1076,3000040,2025,1.0,sped
1037,3000041,2025,1.0,admin
1070,3000042,2025,1.0,admin
1032,3000043,2025,0.65,math
1077,3000043,2025,0.35,sped
1042,3000044,2025,1.0,social_studies
1057,3000045,2025,1.0,admin
1023,3000046,2025,1.0,ela
1011,3000047,2025,1.0,counseling
1003,3000048,2025,1.0,sped
1037,3000049,2025,1.0,counseling
1024,3000050,2025,1.0,science
1063,3000051,2025,1.0,science
1018,3000052,2025,1.0,math
1063,3000053,2025,0.51,social_studies
1017,3000053,2025,0.49,ela
1002,3000054,2025,1.0,math
1014,3000055,2025,1.0,social_studies
1082,3000056,2025,1.0,social_studies
1060,3000057,2025,0.96,math
1031,3000057,2025,0.040000000000000036,sped
1085,3000058,2025,0.46,sped
1017,3000058,2025,0.54,admin
1018,3000059,2025,1.0,science
1045,3000060,2025,1.0,counseling
1067,3000061,2025,1.0,social_studies
1072,3000062,2025,1.0,admin
1015,3000063,2025,1.0,counseling
1079,3000064,2025,1.0,admin
1050,3000065,2025,1.0,sped
1014,3000066,2025,1.0,sped
1032,3000067,2025,1.0,social_studies
1087,3000068,2025,1.0,social_studies
1021,3000068,2025,0.0,math
1028,3000069,2025,1.0,admin
1050,3000070,2025,1.0,math
1034,3000071,2025,1.0,science
1082,3000072,2025,1.0,ela
1043,3000073,2025,1.0,sped
1065,3000074,2025,1.0,sped
1026,3000075,2025,1.0,ela
1069,3000076,2025,1.0,sped
1001,3000077,2025,0.78,ela
1062,3000077,2025,0.21999999999999997,science
1018,3000078,2025,1.0,counseling
1074,3000079,2025,1.0,math
1005,3000080,2025,1.0,science
1087,3000081,2025,1.0,ela
1046,3000082,2025,1.0,math
1035,3000083,2025,1.0,admin
1033,3000084,2025,0.81,science
1069,3000084,2025,0.18999999999999995,science
1074,3000085,2025,0.43,math
1004,3000085,2025,0.5700000000000001,social_studies
1038,3000086,2025,1.0,admin
1048,3000087,2025,0.9,math
1023,3000087,2025,0.09999999999999998,science
1005,3000088,2025,1.0,admin
1042,3000089,2025,1.0,sped
1073,3000090,2025,1.0,counseling
1044,3000091,2025,0.93,ela
1089,3000091,2025,0.06999999999999995,ela
1066,3000092,2025,0.75,admin
1002,3000092,2025,0.25,counseling
1063,3000093,2025,1.0,social_studies
1055,3000094,2025,1.0,math
1070,3000095,2025,1.0,science
1049,3000096,2025,1.0,sped
1087,3000097,2025,0.63,science
1001,3000097,2025,0.37,science
1066,3000098,2025,1.0,sped
1023,3000099,2025,1.0,science
1073,3000100,2025,1.0,counseling
1070,3000101,2025,1.0,math
1025,3000102,2025,1.0,math
1012,3000103,2025,1.0,counseling
1025,3000104,2025,1.0,ela
1026,3000105,2025,0.76,science
1088,3000105,2025,0.24,ela
1036,3000106,2025,1.0,admin
1062,3000107,2025,1.0,admin
1001,3000108,2025,1.0,counseling
1014,3000109,2025,1.0,science
1026,3000110,2025,1.0,science
1051,3000111,2025,1.0,ela
1084,3000112,2025,0.49,social_studies
1013,3000112,2025,0.51,science
1069,3000113,2025,1.0,admin
1027,3000114,2025,1.0,ela
1087,3000115,2025,1.0,science
1038,3000116,2025,1.0,science
1023,3000117,2025,1.0,social_studies
1051,3000118,2025,1.0,admin
1001,3000119,2025,1.0,science
1003,3000120,2025,1.0,counseling
1078,3000121,2025,1.0,social_studies
1016,3000122,2025,1.0,math
1026,3000123,2025,1.0,social_studies
1011,3000124,2025,1.0,ela
1086,3000125,2025,1.0,science
1003,3000126,2025,1.0,sped
1030,3000127,2025,1.0,admin
1026,3000128,2025,1.0,sped
1021,3000129,2025,1.0,math
1083,3000130,2025,1.0,admin
1047,3000131,2025,1.0,counseling
1018,3000132,2025,1.0,admin
1032,3000133,2025,1.0,ela
1072,3000134,2025,1.0,ela
1085,3000135,2025,1.0,sped
1042,3000136,2025,0.45,math
1077,3000136,2025,0.55,social_studies
1019,3000137,2025,1.0,social_studies
1061,3000138,2025,1.0,social_studies
1016,3000139,2025,1.0,admin
1023,3000140,2025,1.0,ela
1006,3000141,2025,1.0,science
1088,3000142,2025,1.0,social_studies
1065,3000143,2025,1.0,math
1009,3000144,2025,1.0,ela
1086,3000145,2025,1.0,science
1047,3000146,2025,1.0,math
1042,3000147,2025,1.0,sped
1011,3000148,2025,1.0,counseling
1078,3000149,2025,1.0,counseling
1059,3000150,2025,1.0,math
1064,3000151,2025,1.0,admin
1023,3000152,2025,1.0,math
1036,3000153,2025,1.0,sped
1066,3000154,2025,1.0,science
1090,3000155,2025,1.0,counseling
1088,3000156,2025,1.0,counseling
1001,3000157,2025,1.0,social_studies
1081,3000158,2025,1.0,admin
1032,3000159,2025,1.0,admin
1011,3000160,2025,0.41,admin
1035,3000160,2025,0.5900000000000001,math
1048,3000161,2025,1.0,sped
1046,3000162,2025,1.0,sped
1012,3000163,2025,1.0,science
1015,3000164,2025,1.0,admin
1064,3000165,2025,1.0,science
1027,3000166,2025,1.0,social_studies
1027,3000167,2025,1.0,sped
1059,3000168,2025,1.0,sped
1048,3000169,2025,1.0,science
1042,3000170,2025,1.0,sped
1045,3000171,2025,0.85,science
1013,3000171,2025,0.15000000000000002,sped
1047,3000172,2025,1.0,counseling
1048,3000173,2025,1.0,counseling
1085,3000174,2025,1.0,admin
1034,3000175,2025,1.0,social_studies
1028,3000176,2025,1.0,counseling
1018,3000177,2025,1.0,ela
1086,3000178,2025,1.0,science
1026,3000179,2025,1.0,counseling
1023,3000180,2025,1.0,admin
1072,3000181,2025,1.0,science
1022,3000182,2025,1.0,ela
1046,3000183,2025,1.0,math
1060,3000184,2025,1.0,math
1059,3000185,2025,1.0,ela
1048,3000186,2025,1.0,math
1061,3000187,2025,1.0,sped
1011,3000188,2025,1.0,math
1037,3000189,2025,1.0,science
1021,3000190,2025,1.0,sped
1027,3000191,2025,0.94,science
1082,3000191,2025,0.06000000000000005,counseling
1010,3000192,2025,1.0,math
1075,3000193,2025,1.0,admin
1065,3000194,2025,1.0,ela
1042,3000195,2025,1.0,sped
1070,3000196,2025,0.8,math
1016,3000196,2025,0.19999999999999996,sped
1039,3000197,2025,1.0,counseling
1015,3000198,2025,1.0,ela
1025,3000199,2025,1.0,sped
1037,3000200,2025,1.0,social_studies
