student_id,school_id
2000001,1047
2000002,1039
2000003,1063
2000004,1067
2000005,1082
2000006,1056
2000007,1067
2000008,1072
2000009,1028
2000010,1072
2000011,1066
2000012,1026
2000013,1083
2000014,1037
2000015,1038
2000016,1040
2000017,1038
2000018,1040
2000019,1023
2000020,1006
2000021,1007
2000022,1081
2000023,1029
2000024,1014
2000025,1033
2000026,1089
2000027,1022
2000028,1057
2000029,1014
2000030,1060
2000031,1060
2000032,1057
2000033,1011
2000034,1081
2000035,1037
2000036,1038
2000037,1005
2000038,1047
2000039,1041
2000040,1084
2000041,1063
2000042,1080
2000043,1069
2000044,1070
2000045,1058
2000046,1086
2000047,1067
2000048,1086
2000049,1042
2000050,1066
2000051,1042
2000052,1066
2000053,1040
2000054,1004
2000055,1013
2000056,1052
2000057,1028
2000058,1058
2000059,1048
2000060,1007
2000061,1078
2000062,1042
2000063,1065
2000064,1082
2000065,1049
2000066,1056
2000067,1090
2000068,1057
2000069,1067
2000070,1009
2000071,1043
2000072,1053
2000073,1020
2000074,1037
2000075,1067
2000076,1076
2000077,1059
2000078,1013
2000079,1024
2000080,1088
2000081,1040
2000082,1006
2000083,1024
2000084,1024
2000085,1031
2000086,1073
2000087,1024
2000088,1065
2000089,1005
2000090,1047
2000091,1079
2000092,1040
2000093,1056
2000094,1022
2000095,1058
2000096,1080
2000097,1089
2000098,1056
2000099,1090
2000100,1042
2000101,1065
2000102,1047
2000103,1057
2000104,1006
2000105,1028
2000106,1014
2000107,1076
2000108,1069
2000109,1003
2000110,1005
2000111,1033
2000112,1072
2000113,1066
2000114,1001
2000115,1072
2000116,1023
2000117,1019
2000118,1007
2000119,1075
2000120,1047
2000121,1014
2000122,1088
2000123,1010
2000124,1055
2000125,1069
2000126,1071
2000127,1019
2000128,1005
2000129,1014
2000130,1014
2000131,1017
2000132,1030
2000133,1037
2000134,1036
2000135,1085
2000136,1031
2000137,1017
2000138,1028
2000139,1073
2000140,1078
2000141,1042
2000142,1078
2000143,1031
2000144,1033
2000145,1069
2000146,1033
2000147,1043
2000148,1014
2000149,1040
2000150,1059
2000151,1079
2000152,1072
2000153,1070
2000154,1002
2000155,1056
2000156,1024
2000157,1079
2000158,1067
2000159,1087
2000160,1060
2000161,1052
2000162,1004
2000163,1008
2000164,1007
2000165,1077
2000166,1062
2000167,1063
2000168,1035
2000169,1026
2000170,1086
2000171,1015
2000172,1062
2000173,1064
2000174,1004
2000175,1032
2000176,1001
2000177,1076
2000178,1031
2000179,1032
2000180,1016
2000181,1023
2000182,1056
2000183,1046
2000184,1072
2000185,1041
2000186,1003
2000187,1032
2000188,1027
2000189,1064
2000190,1024
2000191,1067
2000192,1072
2000193,1052
2000194,1045
2000195,1016
2000196,1032
2000197,1069
2000198,1028
2000199,1007
2000200,1078
2000201,1044
2000202,1035
2000203,1001
2000204,1076
2000205,1078
2000206,1069
2000207,1045
2000208,1061
2000209,1008
2000210,1050
2000211,1029
2000212,1057
2000213,1024
2000214,1059
2000215,1069
2000216,1028
2000217,1032
2000218,1011
2000219,1007
2000220,1069
2000221,1040
2000222,1088
2000223,1005
2000224,1056
2000225,1068
2000226,1045
2000227,1019
2000228,1042
2000229,1036
2000230,1058
