student_id,birth_year,grade_level,gender,race_ethnicity,frpl_flag,ell_flag,iep_flag
2000001,2014,10,F,Other,1,0,1
2000002,2008,3,F,White,0,1,0
2000003,2009,7,M,Black,1,0,1
2000004,2014,9,M,Black,1,0,0
2000005,2010,3,M,White,0,0,0
2000006,2011,9,F,White,1,1,1
2000007,2015,12,M,White,1,0,1
2000008,2012,11,F,White,0,0,0
2000009,2007,9,M,Black,0,0,0
2000010,2015,11,M,White,1,0,0
2000011,2008,6,M,Hispanic,0,0,0
2000012,2012,6,F,White,0,0,0
2000013,2010,3,M,Hispanic,1,0,0
2000014,2007,10,M,White,1,0,0
2000015,2007,6,F,White,1,0,0
2000016,2009,11,M,Black,0,0,0
2000017,2013,7,M,Black,1,0,0
2000018,2012,11,M,White,1,0,0
2000019,2013,4,M,Hispanic,1,0,0
2000020,2013,4,M,Black,0,0,0
2000021,2010,6,M,Black,1,0,0
2000022,2012,3,M,White,1,0,0
2000023,2007,7,F,White,0,0,0
2000024,2015,9,F,Black,1,0,0
2000025,2010,9,F,Black,0,1,0
2000026,2007,5,F,White,1,0,0
2000027,2013,4,M,White,1,0,0
2000028,2013,8,F,Black,0,0,0
2000029,2008,9,F,Black,1,0,0
2000030,2012,12,M,Asian,1,1,0
2000031,2012,11,F,Asian,1,0,1
2000032,2014,6,M,White,0,1,0
2000033,2011,4,M,White,1,0,0
2000034,2011,5,M,Black,1,0,1
2000035,2008,11,F,White,1,0,0
2000036,2008,7,F,Hispanic,0,0,0
2000037,2007,12,F,Black,0,0,0
2000038,2012,9,M,White,0,0,1
2000039,2010,8,M,Hispanic,1,0,1
2000040,2010,4,F,White,1,0,0
2000041,2015,8,M,White,0,0,0
2000042,2007,6,F,White,0,1,0
2000043,2008,11,M,White,0,0,0
2000044,2015,4,F,Hispanic,1,0,1
2000045,2008,4,M,Black,0,0,0
2000046,2007,9,F,Multi,0,0,0
2000047,2009,9,M,White,0,0,0
2000048,2007,11,M,Asian,0,1,0
2000049,2013,8,F,White,0,0,0
2000050,2009,6,F,Black,1,0,1
2000051,2009,6,M,White,1,0,0
2000052,2009,6,M,Black,1,0,0
2000053,2010,9,M,White,1,0,0
2000054,2013,8,F,Black,0,0,1
2000055,2014,5,M,Black,1,0,0
2000056,2011,5,M,White,0,0,0
2000057,2015,10,F,White,0,0,0
2000058,2013,5,F,Black,0,0,0
2000059,2011,5,M,Hispanic,0,0,0
2000060,2008,6,M,White,0,0,0
2000061,2007,11,M,White,0,0,0
2000062,2013,7,F,White,1,0,0
2000063,2013,8,F,White,0,0,0
2000064,2007,3,M,White,0,0,0
2000065,2008,6,F,White,0,0,0
2000066,2009,10,F,Asian,0,0,0
2000067,2010,10,M,Black,0,0,0
2000068,2008,8,M,White,0,1,0
2000069,2007,11,M,Black,1,0,1
2000070,2007,5,F,White,1,0,0
2000071,2008,4,M,White,0,0,0
2000072,2015,3,M,White,1,0,0
2000073,2012,4,M,White,0,0,1
2000074,2008,10,M,White,0,0,0
2000075,2009,12,F,Asian,0,0,0
2000076,2011,4,M,Hispanic,0,0,1
2000077,2010,8,F,Asian,0,0,0
2000078,2009,4,M,Asian,1,1,0
2000079,2012,11,F,White,1,1,1
2000080,2008,4,F,White,0,1,0
2000081,2009,9,M,White,1,0,1
2000082,2011,3,M,Black,0,0,0
2000083,2015,10,M,White,0,0,0
2000084,2014,12,X,Hispanic,0,0,0
2000085,2012,10,M,White,1,0,0
2000086,2008,5,F,Hispanic,1,1,0
2000087,2015,11,M,White,0,0,0
2000088,2010,6,M,Hispanic,1,0,0
2000089,2007,10,M,Hispanic,0,0,0
2000090,2010,11,M,White,0,0,1
2000091,2007,7,F,Black,0,0,0
2000092,2007,9,F,White,1,0,0
2000093,2015,11,M,White,0,0,0
2000094,2013,4,F,Black,1,0,0
2000095,2014,3,F,White,0,0,0
2000096,2011,7,F,Black,0,0,0
2000097,2009,4,F,Black,1,0,0
2000098,2007,11,M,White,0,0,0
2000099,2012,11,F,White,1,1,0
2000100,2015,6,F,Hispanic,1,1,0
2000101,2011,6,F,Black,0,0,0
2000102,2010,10,M,Black,0,0,0
2000103,2014,7,M,Black,0,0,1
2000104,2015,3,M,White,0,1,0
2000105,2013,9,F,Black,1,1,0
2000106,2007,10,M,White,0,0,0
2000107,2009,3,F,Hispanic,0,0,0
2000108,2007,10,M,White,0,0,1
2000109,2007,8,M,Black,1,0,0
2000110,2012,11,F,White,1,0,0
2000111,2015,11,F,White,0,0,0
2000112,2009,9,M,Black,1,0,0
2000113,2010,6,M,Black,1,0,0
2000114,2007,6,F,Black,0,0,0
2000115,2015,10,M,White,1,0,0
2000116,2007,3,F,Hispanic,1,0,0
2000117,2012,5,M,Black,1,0,0
2000118,2010,8,M,Hispanic,0,0,0
2000119,2009,12,F,Hispanic,0,0,0
2000120,2010,10,F,Asian,1,0,1
2000121,2009,11,F,White,1,1,0
